Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz)
B0531+21,J0534+2200,30,58687.565,0.004,31.7,1.2,0.341,0.033,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,949.3174591000001
J0537-6910,J0537-6910,1,51278.0,16,687.0,3,1,1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,42611.9922552
J0537-6910,J0537-6910,2,51562.0,15,450.0,3,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,27911.785320000003
J0537-6910,J0537-6910,3,51711.0,5,315.0,1,0.6,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,19538.249724
J0537-6910,J0537-6910,4,51826.0,8,140.0,1,0.5,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,8683.666544
J0537-6910,J0537-6910,5,51881.0,6,140.0,1,0.7,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,8683.666544
J0537-6910,J0537-6910,6,51960.0,5,454.0,5,0.8,0.5,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,28159.8900784
J0537-6910,J0537-6910,7,52152.0,1,2.3,0.4,X,X,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,142.66023608
J0537-6910,J0537-6910,8,52170.0,5,184.0,1,0.8,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,11412.8188864
J0537-6910,J0537-6910,9,52241.0,12,426.0,1,0.2,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,26423.156769600002
J0537-6910,J0537-6910,10,52378.0,11,168.0,1,0.4,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,10420.399852800001
J0537-6910,J0537-6910,11,52453.0,7,218.0,1,0.4,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,13521.709332800001
J0537-6910,J0537-6910,12,52545.0,6,420.0,2,0.5,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,26050.999632
J0537-6910,J0537-6910,13,52731.0,14,146.0,3,0.6,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,9055.8236816
J0537-6910,J0537-6910,14,52807.0,15,255.0,3,0.6,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,15816.678348000001
J0537-6910,J0537-6910,15,52886.0,3,234.6,0.3,0.44,0.05,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,14551.34408016
J0537-6910,J0537-6910,16,53014.0,6,338.0,1,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,20964.8520848
J0537-6910,J0537-6910,17,53125.5,0.1,17.0,1,0.4,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,1054.4452232
J0537-6910,J0537-6910,18,53145.0,2,391.1,0.2,0.19,0.04,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,24258.442752560004
J0537-6910,J0537-6910,19,53288.0,3,395.0,1,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,24500.344892
J0537-6910,J0537-6910,20,53445.0,2,260.0,1,0.9,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,16126.809296000001
J0537-6910,J0537-6910,21,53550.0,2,321.0,1,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,19910.4068616
J0537-6910,J0537-6910,22,53696.0,14,409.0,3,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,25368.7115464
J0537-6910,J0537-6910,23,53861.0,1,235.0,1,0.8,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,14576.154556000001
J0537-6910,J0537-6910,24,53951.3,0.3,18.0,1,0.3,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,1116.4714128
J0537-6910,J0537-6910,25,53999.0,3,352.0,1,0.4,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,21833.2187392
J0537-6910,J0537-6910,26,54094.0,5,371.0,2,0.1,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,23011.7163416
J0537-6910,J0537-6910,27,54243.0,8,1.0,0.3,X,X,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,62.0261896
J0537-6910,J0537-6910,28,54271.0,2,488.0,1,0.8,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,30268.7805248
J0537-6910,J0537-6910,29,54448.0,7,239.0,1,0.8,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,14824.2593144
J0537-6910,J0537-6910,30,54538.0,4,114.0,1,0.5,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,7070.9856144000005
J0537-6910,J0537-6910,31,54578.0,5,147.0,1,0,1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,9117.8498712
J0537-6910,J0537-6910,32,54639.0,2,128.7,0.5,0.4,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,7982.770601519999
J0537-6910,J0537-6910,33,54712.0,2,105.0,1,0.5,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,6512.749908
J0537-6910,J0537-6910,34,54767.0,4,362.0,1,0.6,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,22453.4806352
J0537-6910,J0537-6910,35,54895.0,9,341.0,1,0.5,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,21150.9306536
J0537-6910,J0537-6910,36,55043.0,2,217.0,0.5,0.8,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,13459.6831432
J0537-6910,J0537-6910,37,55184.0,2,209.0,1,1.1,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,12963.4736264
J0537-6910,J0537-6910,38,55280.0,4,549.0,3,0.3,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,34052.3780904
J0537-6910,J0537-6910,39,55451.0,7,169.0,1,0.4,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,10482.4260424
