Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz)
J0729-1448,J0729-1448,3,54483.6,0.3,13.0,1,1,1,230.392,1.4240000000000002,112.31853999999998,-14.8102,0.251658714,1.13E-13,3.973635498,-1.79E-12,2.00E-23,2.681,3.52E+04,51.657261474
J0729-1448,J0729-1448,4,54592.0,1,12.0,1,-2,2,230.392,1.4240000000000002,112.31853999999998,-14.8102,0.251658714,1.13E-13,3.973635498,-1.79E-12,2.00E-23,2.681,3.52E+04,47.683625976
J0729-1448,J0729-1448,5,54687.0,3,6676.0,9,54,5,230.392,1.4240000000000002,112.31853999999998,-14.8102,0.251658714,1.13E-13,3.973635498,-1.79E-12,2.00E-23,2.681,3.52E+04,26527.990584648
J0729-1448,J0729-1448,6,58266.6,0.9,3.8,0.4,X,X,230.392,1.4240000000000002,112.31853999999998,-14.8102,0.251658714,1.13E-13,3.973635498,-1.79E-12,2.00E-23,2.681,3.52E+04,15.0998148924
J0738-4042,J0738-4042,1,57359.0,5,0.36,0.04,3,1,254.19299999999998,-9.192,114.634425,-40.71095,0.374920736,1.38E-15,2.667230441,-9.78E-15,-4.05E-24,1.6,4.32E+06,0.96020295876
B0740-28,J0742-2822,1,47625.0,3,1.2,0.1,-0.8,0.3,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,7.1958713724
B0740-28,J0742-2822,2,48331.7,0.3,1.2,0.1,-1,1,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,7.1958713724
B0740-28,J0742-2822,3,51770.0,20,1.0,0.3,0.9,0.2,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,5.996559477
B0740-28,J0742-2822,4,52028.0,2,3.7,0.2,4,1,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,22.1872700649
B0740-28,J0742-2822,5,53083.0,1,1.7,0.2,-1,1,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,10.1941511109
B0740-28,J0742-2822,6,53467.7,0.3,1.8,0.1,4.6,0.5,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,10.7938070586
B0740-28,J0742-2822,7,55020.469000000005,0.004,92.0,2,-372,96,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,551.683471884
B0740-28,J0742-2822,8,56725.2,0.2,2.4,0.1,-1.1,0.6,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,14.3917427448
B0740-28,J0742-2822,9,59839.4,0.5,4304.2,1,X,X,243.773,-2.444,115.704408,-28.378821999999996,0.166762292,1.68E-14,5.996559477,-6.05E-13,-1.32E-24,2,1.57E+05,25810.391300903397
B0756-15,J0758-1528,1,49963.0,4,0.11,0.03,2,2,234.46400000000003,7.224,119.621128,-15.469094,0.682265176,1.62E-15,1.465705763,-3.48E-15,-2.37E-26,2.71,6.68E+06,0.16122763393
B0818-13,J0820-1350,1,49927.0,20,0.035,0.002,0.159,0.004,235.89,12.595,125.10992379999999,-13.8488497,1.238129544,2.11E-15,0.807669928,-1.37E-15,1.80E-28,1.9,9.32E+06,0.028268447480000004
B0818-13,J0820-1350,2,58063.0,10,0.082,0.006,0.14,0.07,235.89,12.595,125.10992379999999,-13.8488497,1.238129544,2.11E-15,0.807669928,-1.37E-15,1.80E-28,1.9,9.32E+06,0.066228934096
B0833-45,J0835-4510,1,40280.0,4,2340.0,10,10,1,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,26195.4808596
B0833-45,J0835-4510,2,41192.0,8,2050.0,30,15,6,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,22949.032377
B0833-45,J0835-4510,3,41312.0,4,12.0,2,3,6,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,134.33579928
B0833-45,J0835-4510,4,42683.0,3,1990.0,10,11,7,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,22277.353380599998
B0833-45,J0835-4510,5,43693.0,12,3060.0,60,18,9,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,34255.6288164
B0833-45,J0835-4510,6,44888.4,0.4,1145.0,3,49,4,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,12817.8741813
B0833-45,J0835-4510,7,45192.0,1,2050.0,10,23,1,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,22949.032377
B0833-45,J0835-4510,8,46257.227999999996,0.001,1601.0,1,17,1,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,17922.63455394
B0833-45,J0835-4510,9,47519.8036,0.0001,1805.0,1,77,6,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,20206.3431417
B0833-45,J0835-4510,10,48457.382000000005,0.001,2715.0,2,600,60,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,30393.474587099998
B0833-45,J0835-4510,11,48550.0,19,5.55,0.3,1.053,0.013,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,62.130307167
B0833-45,J0835-4510,12,49559.0,0.2,835.0,2,0,5,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,9347.532699899999
B0833-45,J0835-4510,13,49591.2,X,199.0,2,120,20,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,2227.73533806
B0833-45,J0835-4510,14,50369.345,0.002,2110.0,17,5.95,0.03,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,23620.711373399998
B0833-45,J0835-4510,15,51457.0,99,38.0,4,3.66,0.19,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,425.39669771999996
B0833-45,J0835-4510,16,51559.319,0.001,3085.72,0.04,6.736,0.001,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,34543.555212856794
B0833-45,J0835-4510,17,53193.0,X,2100.0,X,X,X,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,23508.764874
B0833-45,J0835-4510,18,53960.0,X,2620.0,X,230,40,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,29329.9828428
B0833-45,J0835-4510,19,55408.8,X,1940.0,X,75,1,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,21717.6208836
B0833-45,J0835-4510,20,56556.0,X,3100.0,X,148,1,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,34703.414813999996
B0833-45,J0835-4510,21,56922.0,3,0.4,X,0.1,X,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,4.477859976
B0833-45,J0835-4510,22,57734.48499,0,1431.0,X,X,X,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,16019.54406414
B0833-45,J0835-4510,23,58515.5929,0.005,2501.2,0.32,8.69,0.28,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,28000.058429927998
B0833-45,J0835-4510,24,59417.2108,X,1260.0,X,X,X,263.552,-2.787,128.8358812,-45.17635419,0.089328385,1.25E-13,11.19464994,-1.57E-11,1.03E-21,0.28,1.13E+04,14105.2589244
J0834-4159,J0834-4159,1,53415.0,2,102.7,0.1,0.26,0.04,260.88599999999997,-1.036,128.574196,-41.993331,0.121117759,4.28E-15,8.256427514,-2.92E-13,*,5.508,4.48E+05,847.9351056878
B0844-35,J0846-3533,1,55679.0,5,0.62,0.04,3,1,257.19,4.71,131.52517,-35.561440000000005,1.116098409,1.60E-15,0.89597834,-1.29E-15,9.30E-28,0.535,1.10E+07,0.5555065708
B0853-33,J0855-3331,1,54521.0,18,0.06,0.01,0.03,0.01,256.847,7.517,133.91006000000002,-33.52758,1.267535703,6.32E-15,0.788932413,-3.93E-15,4.90E-28,0.503,3.18E+06,0.04733594478
J0901-4624,J0901-4624,1,57179.0,6,0.9,0.1,0.02,0.04,267.404,-0.004,135.41717,-46.413470000000004,0.441995131,8.75E-14,2.262468363,-4.48E-13,*,3.032,8.00E+04,2.0362215267
J0905-5127,J0905-5127,1,49552.0,2,13.6,0.4,-1.8,0.9,271.633,-2.8539999999999996,136.4665,-51.465014000000004,0.346301153,2.49E-14,2.887660037,-2.07E-13,*,1.33,2.21E+05,39.272176503199994
J0905-5127,J0905-5127,2,52931.0,67,8.3,0.5,1.2,0.1,271.633,-2.8539999999999996,136.4665,-51.465014000000004,0.346301153,2.49E-14,2.887660037,-2.07E-13,*,1.33,2.21E+05,23.967578307100002
B0919+06,J0922+0638,1,55152.0,8,1256.2,0.4,0.1,0.9,225.42,36.391999999999996,140.558425,6.639810000000001,0.430627099,1.37E-14,2.322194777,-7.40E-14,1.80E-24,1.1,4.97E+05,2917.1410788674
J0940-5428,J0940-5428,1,55346.0,8,1573.9,1.1,11,2,277.51,-1.2919999999999998,145.24258,-54.477940000000004,0.087545204,3.29E-14,11.42267024,-4.29E-12,*,0.377,4.22E+04,17978.140690736003
J0940-5428,J0940-5428,2,58322.0,16,1100.5,0.6,4,0.2,277.51,-1.2919999999999998,145.24258,-54.477940000000004,0.087545204,3.29E-14,11.42267024,-4.29E-12,*,0.377,4.22E+04,12570.64859912
J1016-5857,J1016-5857,1,52549.0,22,1622.6,0.5,3.7,0.1,284.079,-1.88,154.08817,-58.953359999999996,0.107386458,8.08E-14,9.31216109,-7.01E-12,*,3.163,2.10E+04,15109.912584634
J1016-5857,J1016-5857,2,55041.0,30,1912.0,0.4,4.4,0.3,284.079,-1.88,154.08817,-58.953359999999996,0.107386458,8.08E-14,9.31216109,-7.01E-12,*,3.163,2.10E+04,17804.85200408
J1016-5857,J1016-5857,3,55595.0,5,1464.4,1.1,4,5,284.079,-1.88,154.08817,-58.953359999999996,0.107386458,8.08E-14,9.31216109,-7.01E-12,*,3.163,2.10E+04,13636.728700196001
J1016-5857,J1016-5857,4,56975.0,8,6.21,2.35,X,X,284.079,-1.88,154.08817,-58.953359999999996,0.107386458,8.08E-14,9.31216109,-7.01E-12,*,3.163,2.10E+04,57.8285203689
J1016-5857,J1016-5857,5,55595.0,5,1464.4,1.1,4,5,284.079,-1.88,154.08817,-58.953359999999996,0.107386458,8.08E-14,9.31216109,-7.01E-12,*,3.163,2.10E+04,13636.728700196001
J1019-5749,J1019-5749,1,55595.0,10,1.33,0.4,0.12,0.22,283.837,-0.679,154.96725,-57.81831,0.16249871,2.01E-14,6.153895006,-7.60E-13,*,10.913,1.28E+05,8.18468035798
J1019-5749,J1019-5749,2,55981.0,10,377.8,0.4,0.51,0.3,283.837,-0.679,154.96725,-57.81831,0.16249871,2.01E-14,6.153895006,-7.60E-13,*,10.913,1.28E+05,2324.9415332668
J1023-5746,J1023-5746,1,55043.0,8,3570.0,1,10.62,0.07,284.166,-0.40700000000000003,155.762,-57.7681,0.111472434,3.84E-13,8.970827684,-3.09E-11,7.10E-21,2.08,4.60E+03,32025.85483188
J1023-5746,J1023-5746,2,56004.0,8,2822.0,4,12.6,0.2,284.166,-0.40700000000000003,155.762,-57.7681,0.111472434,3.84E-13,8.970827684,-3.09E-11,7.10E-21,2.08,4.60E+03,25315.675724247998
J1023-5746,J1023-5746,3,56647.0,8,3306.0,1,11,0.2,284.166,-0.40700000000000003,155.762,-57.7681,0.111472434,3.84E-13,8.970827684,-3.09E-11,7.10E-21,2.08,4.60E+03,29657.556323303997
J1023-5746,J1023-5746,4,57192.0,8,22.0,1,-1.74,0.08,284.166,-0.40700000000000003,155.762,-57.7681,0.111472434,3.84E-13,8.970827684,-3.09E-11,7.10E-21,2.08,4.60E+03,197.358209048
J1023-5746,J1023-5746,5,57727.0,8,3784.9,0.9,14.82,0.02,284.166,-0.40700000000000003,155.762,-57.7681,0.111472434,3.84E-13,8.970827684,-3.09E-11,7.10E-21,2.08,4.60E+03,33953.6857011716
J1023-5746,J1023-5746,6,58202.0,17,2729.0,1,5.2,0.03,284.166,-0.40700000000000003,155.762,-57.7681,0.111472434,3.84E-13,8.970827684,-3.09E-11,7.10E-21,2.08,4.60E+03,24481.388749636
J1023-5746,J1023-5746,7,58823.0,8,1681.0,0.4,6.77,0.09,284.166,-0.40700000000000003,155.762,-57.7681,0.111472434,3.84E-13,8.970827684,-3.09E-11,7.10E-21,2.08,4.60E+03,15079.961336803999
J1028-5819,J1028-5819,1,57881.0,14,2296.5,0.5,35,1,285.065,-0.496,157.1167,-58.3181,0.091403231,1.61E-14,10.9405323,-1.93E-12,*,1.423,9.00E+04,25124.93242695
B1046-58,J1048-5832,1,48944.0,2,19.0,2,0.3,0.1,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,153.565950892
B1046-58,J1048-5832,2,49034.0,9,3000.0,10,3.7,0.1,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,24247.255404
B1046-58,J1048-5832,3,50791.49,5,768.0,1,14,5,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,6207.297383424
B1046-58,J1048-5832,4,52733.0,37,1838.4,9,3.7,0.3,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,14858.718111571201
B1046-58,J1048-5832,5,53673.0,0.8,28.5,0.4,0.2,0.1,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,230.348926338
B1046-58,J1048-5832,6,54495.0,10,3043.1,0.2,4.77,0.02,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,24595.6076399708
J1048-5832,J1048-5832,1,54495.0,4,3044.1,0.9,5.2,0.5,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,24603.6900584388
J1048-5832,J1048-5832,2,56756.0,4,2963.0,4,9,9,287.427,0.5770000000000001,162.05438,-58.535059999999994,0.123725343,9.61E-14,8.082418468,-6.28E-12,1.47E-22,2.9,2.04E+04,23948.205920684002
J1052-5954,J1052-5954,1,54526.0,22,6747.8,0.7,14.1,0.4,288.54900000000004,-0.4,163.1588,-59.91225,0.180591501,2.00E-14,5.537359157,-6.13E-13,*,3.143,1.43E+05,37364.9921196046
J1055-6028,J1055-6028,1,57035.0,10,105.7,0.6,1.3,0.3,289.133,-0.745,163.91329,-60.47708000000001,0.099660833,2.95E-14,10.03403208,-2.97E-12,*,3.83,5.35E+04,1060.597190856
J1105-6107,J1105-6107,1,50417.0,16,279.7,0.2,4.63,0.04,290.48900000000003,-0.846,166.35891999999998,-61.130261,0.063202131,1.58E-14,15.82225133,-3.97E-12,-5.40E-23,2.36,6.32E+04,4425.483697001
J1105-6107,J1105-6107,2,50610.0,3,2.0,3,0.19,0.01,290.48900000000003,-0.846,166.35891999999998,-61.130261,0.063202131,1.58E-14,15.82225133,-3.97E-12,-5.40E-23,2.36,6.32E+04,31.64450266
J1105-6107,J1105-6107,3,51598.0,147,971.7,0.5,0.1,0.1,290.48900000000003,-0.846,166.35891999999998,-61.130261,0.063202131,1.58E-14,15.82225133,-3.97E-12,-5.40E-23,2.36,6.32E+04,15374.481617361002
J1105-6107,J1105-6107,4,54711.0,21,23.0,1,0,0.3,290.48900000000003,-0.846,166.35891999999998,-61.130261,0.063202131,1.58E-14,15.82225133,-3.97E-12,-5.40E-23,2.36,6.32E+04,363.91178059000003
J1105-6107,J1105-6107,5,55288.0,16,954.4,0.1,X,X,290.48900000000003,-0.846,166.35891999999998,-61.130261,0.063202131,1.58E-14,15.82225133,-3.97E-12,-5.40E-23,2.36,6.32E+04,15100.756669352
J1112-6103,J1112-6103,1,51395.0,134,1825.0,25,4.7,0.4,291.221,-0.462,168.06171,-61.058640000000004,0.064961852,3.15E-14,15.39364982,-7.45E-12,*,4.464,3.27E+04,28093.4109215
J1112-6103,J1112-6103,2,53337.0,30,1202.0,21,7,2,291.221,-0.462,168.06171,-61.058640000000004,0.064961852,3.15E-14,15.39364982,-7.45E-12,*,4.464,3.27E+04,18503.16708364
J1112-6103,J1112-6103,3,55288.0,7,1793.0,1,6,2,291.221,-0.462,168.06171,-61.058640000000004,0.064961852,3.15E-14,15.39364982,-7.45E-12,*,4.464,3.27E+04,27600.81412726
J1112-6103,J1112-6103,4,57922.0,6,1283.0,1,4.9,0.5,291.221,-0.462,168.06171,-61.058640000000004,0.064961852,3.15E-14,15.39364982,-7.45E-12,*,4.464,3.27E+04,19750.05271906
J1119-6127,J1119-6127,1,51398.0,4,4.4,0.4,0.04,0.01,292.151,-0.537,169.80958,-61.46375,0.407962984,4.02E-12,2.451202781,-2.42E-11,6.39E-22,8.4,1.61E+03,10.785292236400002
J1119-6127,J1119-6127,2,53290.0,X,321.0,33,6,1,292.151,-0.537,169.80958,-61.46375,0.407962984,4.02E-12,2.451202781,-2.42E-11,6.39E-22,8.4,1.61E+03,786.836092701
J1119-6127,J1119-6127,3,54240.0,X,5419.0,794,197.8,0.4,292.151,-0.537,169.80958,-61.46375,0.407962984,4.02E-12,2.451202781,-2.42E-11,6.39E-22,8.4,1.61E+03,13283.067870239001
J1119-6127,J1119-6127,4,57597.5,0.5,5790.0,200,X,X,292.151,-0.537,169.80958,-61.46375,0.407962984,4.02E-12,2.451202781,-2.42E-11,6.39E-22,8.4,1.61E+03,14192.464101990001
J1123-6259,J1123-6259,1,49705.87,0.01,749.0,1,1,0.4,293.183,-1.7830000000000001,170.98138,-62.986369999999994,0.271437312,5.25E-15,3.684091893,-7.13E-14,*,2.187,8.19E+05,2759.3848278570003
J1124-5916,J1124-5916,1,55191.0,X,16.0,1,4.73,0.05,292.038,1.7519999999999998,171.1625,-59.2719,0.135476854,7.53E-13,7.381334652,-4.10E-11,-8.60E-22,5,2.85E+03,118.101354432
J1141-3322,J1141-3322,1,50521.31,0.03,0.4,0.1,-4,5,286.586,27.272,175.42815,-33.377031,0.291467801,4.65E-16,3.430910712,-5.48E-15,0.00E+00,1.853,9.92E+06,1.3723642848000002
J1248-6344,J1248-6344,1,56043.0,5,1.7,0.2,X,X,302.637,-0.866,192.1932,-63.736000000000004,0.198335136,1.69E-14,5.041970971,-4.30E-13,*,10.699,1.86E+05,8.5713506507
B1259-63,J1302-6350,1,50691.0,1,3.2,0.1,2.5,0.1,304.184,-0.992,195.69849309999998,-63.83573016,0.047762508,2.28E-15,20.9369242,-9.99E-13,-2.11E-24,2.632,3.32E+05,66.99815744
J1301-6305,J1301-6305,1,51923.0,23,4630.0,17,8.6,0.1,304.1,-0.244,195.4407,-63.0927,0.184528095,2.67E-13,5.419228977,-7.83E-12,2.30E-22,10.717,1.10E+04,25091.03016351
J1301-6305,J1301-6305,2,53383.0,12,2664.0,6,3.9,0.1,304.1,-0.244,195.4407,-63.0927,0.184528095,2.67E-13,5.419228977,-7.83E-12,2.30E-22,10.717,1.10E+04,14436.825994728
J1301-6305,J1301-6305,3,55124.0,10,4169.0,3,5.8,0.7,304.1,-0.244,195.4407,-63.0927,0.184528095,2.67E-13,5.419228977,-7.83E-12,2.30E-22,10.717,1.10E+04,22592.765605113003
J1301-6305,J1301-6305,4,57718.0,6,658.0,3,6,0.5,304.1,-0.244,195.4407,-63.0927,0.184528095,2.67E-13,5.419228977,-7.83E-12,2.30E-22,10.717,1.10E+04,3565.852666866
J1320-5359,J1320-5359,1,56354.0,10,10.5,0.1,0.2,0.2,307.305,8.637,200.224671,-53.984722,0.279737683,9.25E-15,3.574777585,-1.18E-13,*,2.204,4.79E+05,37.5351646425
J1320-5359,J1320-5359,2,56737.0,14,246.8,0.1,0.08,0.14,307.305,8.637,200.224671,-53.984722,0.279737683,9.25E-15,3.574777585,-1.18E-13,*,2.204,4.79E+05,882.2551079780001
B1325-43,J1328-4357,1,43590.0,24,116.0,X,X,X,309.874,18.415,202.0268,-43.96226,0.532698803,3.01E-15,1.877233427,-1.06E-14,*,1.424,2.80E+06,217.759077532
B1338-62,J1341-6220,1,47989.0,21,1509.0,1,0.2,0.1,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,7804.913520543
B1338-62,J1341-6220,2,48453.0,12,23.0,7,-0.5,0.1,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,118.961571221
B1338-62,J1341-6220,3,48645.0,10,996.0,3,0.7,0.1,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,5151.553258092
B1338-62,J1341-6220,4,49134.0,22,13.0,13,0.6,0.2,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,67.239148951
B1338-62,J1341-6220,5,49363.0,130,146.0,38,0.7,0.2,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,755.147365142
B1338-62,J1341-6220,6,49523.0,17,37.0,35,-0.6,0.1,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,191.372962399
B1338-62,J1341-6220,7,49766.0,2,15.0,2,-0.3,0.1,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,77.583633405
B1338-62,J1341-6220,8,49904.0,16,31.0,1,-1.9,0.4,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,160.339509037
B1338-62,J1341-6220,9,50008.0,16,1648.0,3,3.3,0.4,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,8523.855190096
B1338-62,J1341-6220,10,50322.0,1,30.0,1,0.6,0.1,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,155.16726681
B1338-62,J1341-6220,11,50529.0,1,23.0,1,1,0.4,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,118.961571221
B1338-62,J1341-6220,12,50683.0,13,708.0,1,1.2,0.3,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,3661.947496716
B1338-62,J1341-6220,13,51144.0,11,170.0,1,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,879.28117859
B1338-62,J1341-6220,14,51617.0,165,1121.5,0.8,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,5800.6696575805
B1338-62,J1341-6220,15,52093.0,53,480.0,4,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,2482.67626896
B1338-62,J1341-6220,16,52250.0,16,454.5,0.7,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,2350.7840921715
B1338-62,J1341-6220,17,52788.0,17,219.2,0.2,-8.3,0.3,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,1133.7554961583999
B1338-62,J1341-6220,18,53232.0,10,277.0,3,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,1432.711096879
B1338-62,J1341-6220,19,53471.0,17,985.0,6,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,5094.658593595
B1338-62,J1341-6220,20,54128.0,16,194.0,0.8,5,0.1,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,1003.414992038
B1338-62,J1341-6220,21,54468.0,18,3078.2,0.3,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,15921.196023151399
B1338-62,J1341-6220,22,54870.0,11,3066.7,0.3,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,15861.715237540899
B1338-62,J1341-6220,23,55088.0,16,1579.0,2,X,X,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,8166.970476433
B1338-62,J1341-6220,24,55484.0,11,2.4,0.3,0.49,0.01,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,12.4133813448
B1338-62,J1341-6220,25,55835.0,7,329.0,0.4,0.98,0.02,308.73,-0.035,205.4276,-62.33908,0.193339746,2.53E-13,5.172242227,-6.77E-12,-1.00E-23,12.599,1.21E+04,1701.667692683
