Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J1123-6651,294.469,-5.442,170.96754,-66.863631,0.232976433,2.75E-15,4.292279647,-5.07E-14,*,1.675,1.34E+06
J1124-3653,284.094,22.765,171.00465,-36.888639,0.00241,5.80E-21,414.937759,-9.99E-16,*,0.99,6.58E+09
J1124-5638,291.209,4.246,171.2353,-56.64436,0.185559973,9.00E-18,5.389093249,-2.60E-16,*,2.639,3.27E+08
J1124-5916,292.038,1.752,171.1625,-59.2719,0.135476854,7.53E-13,7.381334652,-4.10E-11,-8.60E-22,5,2.85E+03
J1124-6421,293.747,-3.036,171.2479,-64.3547,0.479098585,6.20E-16,2.087253088,-2.70E-15,*,2.702,1.22E+07
J1125-5825,291.893,2.602,171.4348568,-58.4213555,0.003102214,6.09E-20,322.350433,-6.33E-15,*,1.744,8.07E+08
J1125-6014,292.504,0.894,171.4801235,-60.23519318,0.002630381,3.73E-21,380.173094,-5.39E-16,*,0.988,1.12E+10
J1125+7819,128.289,37.895,171.4994027,78.33019874,0.004201609,6.94E-21,238.0040532,-3.93E-16,*,0.903,9.59E+09
J1126-2737,280.691,31.537,171.5,0.358161,kkl+15,*,kkl+15,*,*,,
J1126-38,285.214,21.292,171.57,-38.63,0.88755,*,1.126697,*,*,1.013,*
J1126-6054,292.834,0.292,171.7192,-60.9111,0.202736912,2.81E-16,4.932500899,-6.84E-15,*,2.426,1.14E+07
J1126-6942,295.631,-8.048,171.59025,-69.70439,0.579418752,3.29E-15,1.725867513,-9.81E-15,-6.90E-25,1.185,2.79E+06
J1128-6219,293.495,-0.972,172.1946,-62.3192,0.515983511,1.10E-17,1.938046429,-4.10E-17,*,7.401,7.43E+08
J1129-53,290.798,7.41,172.34,-53.5,1.06288,*,0.94084,*,*,1.457,*
J1130+09,252.227,63.972,172.729,9.34682,4.796636975,-2.76E-15,0.2084794,1.20E-16,*,3.386,*
J1130-5826,292.46,2.778,172.56804,-58.43397,0.162323476,1.59E-17,6.160538375,-6.03E-16,*,2.408,1.62E+08
J1130-5925,292.755,1.83,172.5435,-59.42614,0.680983832,9.52E-16,1.468463644,-2.05E-15,*,2.387,1.13E+07
J1130-6807,295.484,-6.431,172.632971,-68.124589,0.256352799,4.60E-16,3.900874118,-6.99E-15,*,1.972,8.84E+06
J1132+25,214.581,72.285,173.21,25.2,1.002,*,0.998004,*,*,25,*
J1132-4700,289.177,13.736,173.0605,-47.01014,0.32563329,7.77E-16,3.070939091,-7.33E-15,*,2.688,6.64E+06
J1132-5627,292.11,4.741,173.06558,-56.45803,0.175166247,6.80E-17,5.70886239,-2.22E-15,*,2.911,4.08E+07
J1133-6250,294.213,-1.296,173.4644,-62.84739,1.022875141,4.52E-16,0.977636429,-4.32E-16,*,7.448,3.59E+07
J1135-49,290.526,11.619,173.98,-49.43,*,*,*,*,*,2.129,*
J1135-6055,293.794,0.584,173.784896,-60.9268,0.114943,7.93E-14,8.7,-6.00E-12,*,*,2.30E+04
J1136+1551,241.895,69.196,174.0129992,15.8539397,1.187913066,3.73E-15,0.841812443,-2.65E-15,8.70E-28,0.372,5.04E+06
J1136-5525,292.308,5.89,174.009,-55.41858,0.364713249,8.23E-15,2.7418801,-6.18E-14,-4.50E-24,1.518,7.02E+05
J1136-6527,295.241,-3.71,174.1051,-65.45542,1.189309005,1.75E-15,0.840824374,-1.24E-15,*,1.955,1.08E+07
J1137-6700,295.793,-5.167,174.3837,-67.00917,0.556216056,7.17E-17,1.797862521,-2.32E-16,*,2.603,1.23E+08
J1137+7528,128.999,40.772,174.2585721,75.46730864,0.002512642,3.24E-21,397.9873963,-5.13E-16,*,3.833,1.23E+10
J1138-6207,294.506,-0.463,174.59008,-62.13314,0.117563794,1.25E-14,8.506020143,-9.03E-13,*,7.183,1.49E+05
J1139-6247,294.791,-1.065,174.82125,-62.79028,0.120482,4.05E-15,8.3,-2.79E-13,*,*,4.71E+05
J1141-3107,285.746,29.393,175.35679,-31.13128,0.538431789,1.96E-15,1.857245468,-6.76E-15,*,0.783,4.35E+06
J1141-3322,286.586,27.272,175.42815,-33.377031,0.291467801,4.65E-16,3.430910712,-5.48E-15,0.00E+00,1.853,9.92E+06
J1141-6545,295.791,-3.863,175.279225,-65.7553092,0.393898815,4.31E-15,2.538723048,-2.78E-14,*,10,1.45E+06
J1142+0119,267.542,59.4,175.708937,1.32658,0.005075298,1.50E-20,197.0327535,-5.82E-16,*,2.169,5.36E+09
J1142-6230,295.11,-0.675,175.7188,-62.5011,0.558383386,7.80E-17,1.790884231,-2.50E-16,*,3.483,1.13E+08
J1143-5158,292.383,9.492,175.81277,-51.977747,0.675646047,6.95E-16,1.480064901,-1.52E-15,*,2.397,1.54E+07
J1143-5536,293.334,5.993,175.79079,-55.60125,0.685358486,4.85E-16,1.459090419,-1.03E-15,*,2.22,2.24E+07
J1144-6146,295.116,0.073,176.145,-61.7803,0.987783069,-3.80E-17,1.01236803,3.90E-17,*,1.395,*
J1144-6217,295.186,-0.438,176.0088,-62.29175,0.850664943,3.08E-14,1.175550971,-4.26E-14,*,2.645,4.37E+05
J1146-6030,294.977,1.343,176.5321467,-60.516562,0.273374509,1.79E-15,3.657985541,-2.39E-14,*,1.634,2.42E+06
J1146-6610,296.479,-4.12,176.743221,-66.1809328,0.003722313,7.93E-21,268.6502005,-5.72E-16,*,1.793,7.44E+09
J1148-5725,294.507,4.418,177.1189,-57.4202,3.559937232,1.11E-14,0.280903829,-8.76E-16,*,2.063,5.08E+06
J1148-6415,296.177,-2.214,177.157,-64.2592,3.241028503,2.70E-15,0.308544031,-2.60E-16,*,2.454,1.90E+07
J1151-6108,295.814,0.909,177.98692,-61.13822,0.101633196,1.03E-14,9.839304838,-9.95E-13,*,2.227,1.57E+05
J1152-5800,295.126,3.961,178.0417,-58.0094,1.789829466,1.30E-15,0.558712446,-4.00E-16,*,2.156,2.21E+07
J1152-6012,295.716,1.843,178.2242,-60.2058,0.376569566,6.69E-15,2.655551831,-4.71E-14,*,1.367,8.93E+05
J1153-2117,285.177,39.549,178.2,2.34348,kkl+15,*,kkl+15,*,*,,
J1154-19,284.593,41.817,178.5,0.0111,mss+20,*,*,*,0.121,,
J1154-6250,296.467,-0.681,178.5837,-62.83408,0.282011711,5.59E-16,3.545952038,-7.03E-15,*,1.358,7.99E+06
J1156-1318,283.032,47.44,179.2,,*,*,*,*,*,,
J1156-5707,295.448,4.949,179.031,-57.11725,0.288416774,2.65E-14,3.467204721,-3.19E-13,*,2.848,1.72E+05
J1156-5909,295.912,2.966,179.0896,-59.15342,1.037931051,1.02E-15,0.963455134,-9.47E-16,*,2.331,1.61E+07
J1157-5112,294.325,10.746,179.284025,-51.215594,0.043589227,1.43E-19,22.94144832,-7.50E-17,*,0.961,4.83E+09
J1157-6224,296.705,-0.199,179.31336,-62.414147,0.400525717,3.93E-15,2.496718583,-2.45E-14,-1.00E-24,4,1.61E+06
J1159-6409,297.295,-1.865,179.8404,-64.1658,0.667485534,2.40E-17,1.49815981,-5.40E-17,*,2.035,4.41E+08
J1159-7910,300.412,-16.551,179.8988,-79.16822,0.525074239,2.82E-15,1.904492594,-1.02E-14,*,1.607,2.95E+06
J1201-6306,297.309,-0.793,180.34588,-63.1165,0.592136029,3.56E-15,1.688801138,-1.01E-14,*,9.538,2.64E+06
J1202-5820,296.528,3.919,180.61802,-58.342678,0.452803098,2.13E-15,2.208465458,-1.04E-14,-1.09E-24,1.887,3.37E+06
J1203-6242,297.517,-0.341,180.98042,-62.71222,0.100604,4.41E-14,9.94,-4.36E-12,*,*,3.61E+04
J1204-6843,298.684,-6.237,181.153,-68.72144,0.308860862,2.17E-16,3.237703843,-2.28E-15,*,1.906,2.25E+07
J1207-4508,294.817,17.04,181.83025,-45.13586,1.769827846,1.56E-15,0.565026707,-4.98E-16,*,2.634,1.80E+07
J1207-5050,295.861,11.422,181.8433497,-50.8440778,0.004842757,6.07E-21,206.4939317,-2.59E-16,*,1.267,1.27E+10
J1208-6238,297.99,-0.178,182.0582,-62.63425,0.440590724,3.27E-12,2.269680105,-1.68E-11,3.20E-22,*,2.14E+03
J1210-5226,296.545,9.916,182.5038,-52.44122,0.424130749,2.22E-17,2.357763503,-1.24E-16,*,2.6,3.02E+08
J1210-5559,297.136,6.421,182.5249461,-55.98440281,0.279767869,7.25E-16,3.574391887,-9.27E-15,*,2.372,6.11E+06
J1210-6322,298.395,-0.859,182.6949,-63.37247,1.163185714,9.25E-15,0.859707945,-6.83E-15,*,9.548,1.99E+06
J1210-6550,298.774,-3.292,182.675,-65.8346,4.237010216,4.30E-16,0.23601548,-2.40E-17,*,0.923,1.56E+08
J1211-6324,298.47,-0.888,182.8508,-63.41256,0.433083926,2.57E-16,2.309021276,-1.37E-15,*,8.049,2.67E+07
J1214-5830,298.065,4.012,183.53508,-58.50719,0.909822701,5.34E-17,1.099115244,-6.45E-17,*,1.883,2.70E+08
J1215-5328,297.459,9.009,183.7526,-53.47544,0.636414137,1.15E-16,1.571303876,-2.84E-16,*,3.275,8.77E+07
J1216-50,297.231,12.032,184.08,-50.45,6.355,*,0.1574,*,*,2.302,*
J1216-6223,298.92,0.202,184.1748,-62.39917,0.374053014,1.68E-14,2.673417841,-1.20E-13,*,18.316,3.52E+05
J1216-6410,299.096,-1.561,184.030582,-64.169229,0.003539376,1.62E-21,282.5357059,-1.29E-16,*,1.098,3.47E+10
J1220-6318,299.444,-0.652,185.0744,-63.3129,0.789212012,8.00E-17,1.267086644,-1.29E-16,*,8.948,1.56E+08
J1221-0633,289.675,55.533,185.35333,-6.56417,0.00193,1.09E-20,518.134715,-2.91E-15,*,1.251,2.82E+09
J1222-5738,299.102,5.02,185.7179,-57.6389,1.081163527,1.50E-16,0.924929463,-1.30E-16,*,1.408,1.14E+08
J1223-5856,299.35,3.732,185.91725,-58.94692,0.288541427,5.70E-18,3.465706852,-6.80E-17,*,4.77,8.02E+08
J1224-6208,299.818,0.565,186.1844,-62.14475,0.585761208,2.02E-14,1.707180309,-5.89E-14,*,9.876,4.60E+05
J1224-6407,299.984,-1.415,186.09273,-64.131631,0.216479798,4.95E-15,4.619368689,-1.06E-13,*,4,6.92E+05
J1225-5556,299.313,6.746,186.432613,-55.945317,1.018452868,2.06E-15,0.981881471,-1.99E-15,*,1.929,7.82E+06
J1225-6035,299.748,2.117,186.3693,-60.59378,0.626323942,2.88E-16,1.596617873,-7.30E-16,*,2.194,3.45E+07
J1225-6408,300.131,-1.414,186.4283,-64.1453,0.419617792,9.46E-16,2.383121069,-5.37E-15,*,9.846,7.03E+06
J1226+0005,289.28,62.298,186.56,0.0956,2.28507617,2.47E-15,0.437622173,-4.74E-16,*,1.868,1.46E+07
J1226-3223,296.908,30.2,186.69428,-32.3836,6.193004085,7.05E-15,0.161472524,-1.84E-16,*,2.175,1.39E+07
J1227-4853,298.965,13.796,186.994683,-48.8952058,0.001686375,1.11E-20,592.9877736,-3.90E-15,*,1.613,2.41E+09
J1227-6208,300.082,0.591,186.7518387,-62.1454969,0.034527835,1.87E-19,28.96214055,-1.57E-16,*,9.469,2.92E+09
J1227-63,300.199,-0.407,186.8,-63.15,0.44457796,*,2.2493243,*,*,9.406,*
J1231-1411,295.531,48.385,187.797138,-14.195453,0.003683879,2.28E-20,271.4530196,-1.68E-15,*,0.42,2.56E+09
J1231-4609,299.379,16.573,187.9407,-46.16256,0.877239078,3.80E-17,1.139940098,-4.90E-17,*,1.965,3.66E+08
J1231-5113,299.764,11.523,187.89875,-51.22639,0.206612,1.17E-16,4.84,-2.74E-15,*,*,2.80E+07
J1231-6303,300.644,-0.273,187.8042,-63.055,1.351236393,1.32E-16,0.740062957,-7.23E-17,*,8.279,1.62E+08
J1231-6511,300.865,-2.404,187.93292,-65.19667,0.247525,2.84E-14,4.04,-4.64E-13,*,*,1.38E+05
J1232-4742,299.604,15.034,188.0796,-47.7141,1.872994377,1.40E-17,0.533904433,-4.00E-18,*,0.871,2.12E+09
J1232-6501,300.911,-2.221,188.07433,-65.017592,0.088281908,8.10E-19,11.32734917,-1.04E-16,*,5.423,1.73E+09
J1233-6312,300.915,-0.406,188.381,-63.2081,0.564759389,6.92E-15,1.77066556,-2.17E-14,*,10.02,1.29E+06
J1233-6344,300.968,-0.945,188.4162,-63.7486,0.756891934,3.88E-15,1.321192571,-6.77E-15,*,10.379,3.09E+06
J1234-3630,299.071,26.231,188.55,-36.51142,0.569242225,8.66E-16,1.756721402,-2.67E-15,*,5.99,1.04E+07
J1235-54,300.597,7.849,188.829,-54.95,0.63823381,*,1.56682392,*,*,1.741,*
J1235-6354,301.231,-1.088,188.9905,-63.90844,0.256777653,1.97E-16,3.894419887,-2.99E-15,*,10.296,2.07E+07
J1236-0159,295.065,60.65,189.01,-1.986,3.597573597,5.10E-15,0.277965127,-3.94E-16,*,2.039,1.12E+07
J1236-5033,300.584,12.246,189.24646,-50.56008,0.294759771,1.56E-16,3.392593216,-1.79E-15,*,2.755,3.00E+07
J1237-6725,301.584,-4.591,189.3579,-67.42608,2.110974118,2.19E-15,0.473714951,-4.91E-16,*,3.036,1.53E+07
J1238+2152,272.789,83.962,189.5966,21.8697,1.118590689,1.45E-15,0.893982052,-1.16E-15,-8.70E-27,2.555,1.23E+07
J1239+2453,252.45,86.541,189.918589,24.897025,1.382449103,9.60E-16,0.723353936,-5.02E-16,-5.08E-28,0.84,2.28E+07
J1239+32,151.215,84.429,189.8,0.0047,mss+20,*,*,*,2.224,,
J1239-48,300.78,14.82,189.75,-48,0.6539,*,1.529286,*,*,5.355,*
J1239-6832,301.879,-5.693,189.99567,-68.54137,1.30192253,1.19E-14,0.768094857,-7.01E-15,*,1.575,1.74E+06
J1240-4124,300.688,21.409,190.07338,-41.41436,0.512242093,1.74E-15,1.952201924,-6.63E-15,*,1.682,4.67E+06
J1242+39,130.76,77.36,190.64,39.63,1.31,*,0.763359,*,*,25,*
J1243+17,290.63,80.536,190.75,17.86667,1.2165,*,0.82203,*,*,0.405,*
J1243-5735,301.876,5.26,190.8974,-57.59522,0.471224878,8.00E-17,2.122129046,-3.60E-16,*,14.144,9.33E+07
J1243-6423,302.051,-1.532,190.821254,-64.389925,0.388485127,4.49E-15,2.574101118,-2.98E-14,*,2,1.37E+06
J1244-1812,300.593,44.635,191.1074,-18.2045,3.425323707,1.48E-15,0.291943211,-1.26E-16,*,1.085,3.66E+07
J1244-5053,301.764,11.966,191.04783,-50.88906,0.275207111,1.00E-15,3.633627035,-1.32E-14,*,3.422,4.36E+06
J1244-6359,302.204,-1.134,191.19872,-63.9965,0.14727431,4.40E-18,6.790050463,-2.00E-16,*,8.497,5.30E+08
J1244-6531,302.227,-2.658,191.1596,-65.52,1.54681894,7.18E-15,0.646488076,-3.00E-15,*,10.862,3.41E+06
J1245-6238,302.233,0.215,191.338,-62.6489,2.283093351,1.09E-14,0.438002239,-2.10E-15,*,9.956,3.31E+06
J1246+2253,288.809,85.64,191.70568,22.89535,0.473870558,8.89E-17,2.110280928,-3.96E-16,*,2.465,8.45E+07
J1248-6344,302.637,-0.866,192.1932,-63.736,0.198335136,1.69E-14,5.041970971,-4.30E-13,*,10.699,1.86E+05
J1248-6444,302.623,-1.863,192.13696,-64.7333,1.234893494,1.93E-15,0.809786435,-1.27E-15,*,5.969,1.01E+07
J1249-6507,302.771,-2.251,192.4763,-65.12217,0.434444873,1.21E-17,2.30178801,-6.40E-17,*,5.123,5.69E+08
J1251-7407,302.963,-11.249,192.97058,-74.12084,0.327057738,3.65E-16,3.057564103,-3.41E-15,*,1.86,1.42E+07
J1252+53,122.746,63.428,193,53.7,0.220103583,*,4.54331541,*,*,3.191,*
J1252-6314,303.075,-0.371,193.1776,-63.24242,0.823339271,1.10E-16,1.214566139,-1.60E-16,*,7.317,1.20E+08
J1253-5820,303.2,4.526,193.368092,-58.344692,0.255496327,2.10E-15,3.913950584,-3.22E-14,*,1.641,1.93E+06
J1254-6150,303.298,1.022,193.6353,-61.84744,0.184502203,6.24E-16,5.419989482,-1.83E-14,*,1.531,4.68E+06
J1255-46,303.578,16.867,193.8,-46,0.052,*,19.230769,*,*,1.359,*
J1255-6131,303.466,1.348,193.97858,-61.51947,0.65797363,4.00E-15,1.519817746,-9.24E-15,*,4.824,2.61E+06
J1255-62,303.373,0.068,193.82,-62.8,0.182911508,*,5.467124568,*,*,19.757,*
J1257-1027,305.205,52.395,194.2698437,-10.4515419,0.61730767,3.63E-16,1.619937753,-9.52E-16,5.00E-28,25,2.70E+07
J1259-6741,303.688,-4.834,194.84433,-67.694519,0.663330115,8.55E-16,1.507545002,-1.94E-15,*,1.574,1.23E+07
J1300+1240,311.31,75.414,195.0149029,12.68235336,0.006218532,1.14E-19,160.8096587,-2.96E-15,*,0.709,8.62E+08
J1300-6602,303.848,-3.182,195.11221,-66.038,1.143315842,3.35E-16,0.874648949,-2.56E-16,*,15.566,5.41E+07
J1301+0833,310.811,71.282,195.40942,8.56597,0.00184,*,543.478261,*,*,1.233,*
J1301-6305,304.1,-0.244,195.4407,-63.0927,0.184528095,2.67E-13,5.419228977,-7.83E-12,2.30E-22,10.717,1.10E+04
J1301-6310,304.064,-0.328,195.3679,-63.17792,0.663829648,5.64E-14,1.506410573,-1.28E-13,*,1.458,1.86E+05
J1302-3258,305.59,29.835,195.60833,-32.98,0.00377,6.55E-21,265.251989,-4.61E-16,*,1.431,9.11E+09
J1302-63,304.107,-0.901,195.52,-63.748,0.32572433,*,3.07008076,*,*,25,*
J1302-6313,304.157,-0.379,195.58,-63.2247,0.967846213,6.33E-15,1.033222,-6.76E-15,*,11.331,2.42E+06
J1302-6350,304.184,-0.992,195.6984931,-63.83573016,0.047762508,2.28E-15,20.9369242,-9.99E-13,-2.11E-24,2.632,3.32E+05
J1303+38,111.027,78.636,195.82,38.22,0.3963,*,2.523341,*,*,3.19,*
J1303-6305,304.24,-0.241,195.7501,-63.0836,2.306641554,2.18E-15,0.433530731,-4.10E-16,*,10.248,1.68E+07
J1304+12,315,74.607,196.1125,12.04111,0.00418,*,239.23445,*,*,*,*
J1305-6203,304.561,0.772,196.3381,-62.05585,0.427773663,3.22E-14,2.337684822,-1.76E-13,*,11.586,2.11E+05
J1305-6256,304.526,-0.116,196.3667,-62.9442,0.478230933,2.11E-15,2.09103998,-9.24E-15,*,25,3.59E+06
J1305-6455,304.411,-2.093,196.34779,-64.92458,0.57165179,4.03E-15,1.74931666,-1.23E-14,0.00E+00,11.9,2.25E+06
J1305-66,304.338,-3.817,196.4,-66.65,0.1972763,*,5.069033,*,*,11.627,*
J1306-4035,306.109,22.186,196.73458,-40.58981,0.00220453,*,453.611,*,*,4.7,*
J1306-6242,304.686,0.119,196.6858,-62.7008,0.981902118,5.86E-15,1.018431452,-6.08E-15,*,11.43,2.65E+06
J1306-6617,304.462,-3.463,196.65883,-66.28922,0.4730278,5.98E-15,2.114040655,-2.67E-14,*,15.872,1.25E+06
J1307-6318,304.781,-0.497,196.978,-63.3097,4.962427253,2.11E-14,0.201514289,-8.58E-16,*,10.783,3.72E+06
J1307-67,304.518,-4.236,196.9,-67.06,3.6512,*,0.273883,*,*,1.093,*
J1308+2127,338.733,83.082,197.20112,21.451883,10.31252206,1.12E-13,0.09696949,-1.05E-15,*,*,1.46E+06
J1308-23,307.888,39.712,197,0.00283,mss+20,*,*,*,1.713,,
J1308-4650,306.008,15.927,197.18579,-46.84158,1.058833044,5.26E-16,0.944435958,-4.69E-16,*,2.188,3.19E+07
J1308-5844,305.13,4.062,197.08783,-58.73717,0.464699749,8.64E-15,2.151927137,-4.00E-14,*,6.462,8.52E+05
J1309-6415,304.867,-1.462,197.319,-64.2664,0.619453557,8.79E-15,1.614326028,-2.29E-14,*,11.977,1.12E+06
J1309-6526,304.758,-2.628,197.2512,-65.43794,0.398292163,1.84E-17,2.510719752,-1.16E-16,*,11.256,3.43E+08
J1311-1228,310.723,50.095,197.96937,-12.46712,0.447517711,1.51E-16,2.234548432,-7.53E-16,-1.80E-27,25,4.70E+07
J1311-3430,307.681,28.176,197.9405175,-34.5084306,0.002560371,2.10E-20,390.5683933,-3.20E-15,*,2.43,1.94E+09
J1312+0051,314.842,63.227,198.194343,0.8500289,0.004228019,1.75E-20,236.517386,-9.80E-16,*,1.471,3.82E+09
J1312+1810A,332.962,79.764,198.2,0.033163166,kapw91,*,kapw91,*,*,,
J1312+1810B,332.962,79.764,198.2,0.00624,pqm+21,*,*,*,18.05,,
J1312+1810C,332.962,79.764,198.2,0.01253,pqm+21,*,*,*,18.05,,
J1312+1810D,332.962,79.764,198.2,0.00607,pqm+21,*,*,*,18.05,,
J1312-5402,305.994,8.704,198.019617,-54.04514,0.728154394,1.47E-16,1.373335117,-2.77E-16,*,4.905,7.87E+07
J1312-5516,306.01,7.464,198.22305,-55.27981,0.849242597,5.70E-15,1.177519832,-7.91E-15,*,4.187,2.36E+06
J1312-6400,305.195,-1.235,198.0298,-64.0154,2.437432496,6.80E-16,0.410267772,-1.15E-16,*,1.526,5.65E+07
J1313+0931,320.366,71.657,198.3458,9.5322,0.848932751,8.00E-16,1.177949607,-1.11E-15,*,1.08,1.68E+07
J1314-6101,305.71,1.727,198.597,-61.0211,2.948389604,1.17E-14,0.339168202,-1.35E-15,*,8.539,3.99E+06
J1316-6232,305.848,0.191,199.1929,-62.53672,0.342825398,5.30E-15,2.91693674,-4.51E-14,*,25,1.03E+06
J1317-0157,315.897,60.277,199.2,0,0,0,mss+20,*,*,,
J1317-5759,306.428,4.701,199.44287,-57.99181,2.642198513,1.26E-14,0.378472698,-1.80E-15,*,3.765,3.33E+06
J1317-6302,305.908,-0.328,199.4362,-63.04783,0.261270556,1.02E-16,3.827450039,-1.50E-15,*,12.771,4.04E+07
J1319-6056,306.314,1.742,199.83437,-60.946331,0.284352672,1.53E-15,3.516759639,-1.89E-14,*,11.852,2.95E+06
J1319-6105,306.311,1.597,199.85967,-61.09061,0.421118114,1.50E-15,2.374630694,-8.47E-15,*,12.173,4.44E+06
J1320-3512,309.543,27.295,200.05283,-35.2072,0.458488407,1.90E-18,2.181080231,-9.00E-18,*,0.873,3.82E+09
J1320-5359,307.305,8.637,200.224671,-53.984722,0.279737683,9.25E-15,3.574777585,-1.18E-13,*,2.204,4.79E+05
J1320+67,118.741,49.395,200,67.5,1.02862,*,0.97218,*,*,25,*
J1321-5922,306.778,3.265,200.4148,-59.38114,1.279057595,2.37E-15,0.781825622,-1.45E-15,*,25,8.55E+06
J1321+8323,121.887,33.672,200.440131,83.3942867,0.670037418,5.66E-16,1.492453962,-1.26E-15,-5.40E-27,1.087,1.87E+07
J1322-62,306.512,-0.197,200.72,-62.85,1.044851,*,0.957074,*,*,15.752,*
J1322-6241,306.489,-0.041,200.634,-62.6982,0.506058414,2.59E-15,1.976056465,-1.01E-14,*,12.236,3.10E+06
J1322-6329,306.367,-0.828,200.575,-63.4936,2.764209421,1.11E-14,0.361767091,-1.45E-15,*,12.376,3.95E+06
J1324-6146,306.859,0.851,201.183,-61.7667,0.844108575,5.58E-15,1.184681721,-7.83E-15,*,25,2.40E+06
J1324-6302,306.638,-0.404,201.0569,-63.03919,2.483803693,9.79E-16,0.402608307,-1.59E-16,*,11.685,4.02E+07
J1325-6253,306.753,-0.272,201.2703779,-62.8943317,0.028968593,*,34.52014366,*,*,6.398,*
J1326+33,76.238,79.917,201.7,33.8,0.0415,*,24.096386,*,*,0.344,*
J1326-4728A,309.077,14.948,201.665292,-47.503233,0.004108786,2.70E-20,243.3808802,-1.60E-15,*,5.426,2.41E+09
J1326-4728B,309.107,14.957,201.70651,-47.490172,0.004791869,2.80E-20,208.6868331,-1.20E-15,*,5.426,2.76E+09
J1326-4728C,309.09,14.949,201.68333,-47.5,0.00686786,*,145.6057622,*,*,5.426,*
J1326-4728D,309.09,14.949,201.68333,-47.5,0.004578833,*,218.3962373,*,*,5.426,*
J1326-4728E,309.09,14.949,201.68333,-47.5,0.004207717,*,237.6585665,*,*,5.426,*
J1326-5859,307.504,3.565,201.74257,-58.991469,0.477993613,3.24E-15,2.092078164,-1.42E-14,1.40E-24,3,2.34E+06
J1326-6408,306.748,-1.534,201.635137,-64.1455,0.792673877,3.09E-15,1.261552865,-4.92E-15,*,11.992,4.06E+06
J1326-6700,306.31,-4.369,201.51138,-67.01367,0.543015041,5.33E-15,1.841569616,-1.81E-14,-4.20E-24,6.697,1.62E+06
J1327-0755,318.383,53.848,201.98995,-7.924944,0.002677923,1.77E-21,373.4237043,-2.47E-16,*,25,2.39E+10
J1327-6222,307.074,0.204,201.82157,-62.379294,0.529929187,1.88E-14,1.887044581,-6.69E-14,9.20E-24,4,4.47E+05
J1327-6301,306.966,-0.429,201.7809667,-63.020975,0.196479945,1.53E-15,5.089577975,-3.96E-14,*,6.218,2.03E+06
J1327-6400,306.836,-1.403,201.7928,-64.00364,0.280677974,3.12E-14,3.56280183,-3.96E-13,*,12.991,1.43E+05
J1328-4357,309.874,18.415,202.0268,-43.96226,0.532698803,3.01E-15,1.877233427,-1.06E-14,*,1.424,2.80E+06
J1328-4921,309.122,13.066,202.13992,-49.35928,1.478721356,6.10E-16,0.67625993,-2.79E-16,*,8.396,3.84E+07
J1329+13,338.007,73.989,202.2,13.7,*,*,*,*,*,1.087,*
J1329-6158,307.334,0.567,202.264,-61.9831,1.565217964,3.39E-14,0.638888655,-1.38E-14,*,11.872,7.32E+05
J1331-5245,308.985,9.649,202.75004,-52.75706,0.648116647,5.10E-16,1.542932132,-1.21E-15,*,8.933,2.01E+07
J1332-03,322.25,57.909,203,-3.4,1.1064,*,0.90383,*,*,25,*
J1332-3032,313.396,31.49,203.2187,-30.5381,0.650434491,5.60E-16,1.537433845,-1.32E-15,2.50E-26,0.882,1.84E+07
J1333-4449,310.774,17.403,203.43679,-44.82395,0.345602949,5.40E-19,2.893493832,-4.50E-18,*,1.434,1.01E+10
J1334+10,335.745,70.162,203.63,10.08,0.9111,*,1.097574,*,*,25,*
J1334-5839,308.52,3.749,203.625455,-58.654596,0.107718216,2.16E-17,9.283480899,-1.86E-15,*,2.495,7.90E+07
J1335-3642,312.713,25.332,203.9,-36.7,0.399192,*,2.50506,*,*,2.495,*
J1335-5656,308.888,5.433,203.7725,-56.93361,0.003238,1.21E-20,308.86,-1.15E-15,*,*,4.26E+09
J1336-2522,315.557,36.401,204.08683,-25.36711,0.478145483,3.31E-16,2.091413672,-1.45E-15,*,5.349,2.29E+07
J1336+33,70.319,78.337,204,33.8,3.013,*,0.331895,*,*,0.719,*
J1337-4441,311.478,17.412,204.36562,-44.69508,1.257511493,3.03E-16,0.795221361,-1.92E-16,*,25,6.57E+07
J1337-6306,308.095,-0.696,204.3348,-63.10647,0.207953012,3.56E-16,4.808778625,-8.23E-15,*,12.932,9.26E+06
J1337-6423,307.889,-1.958,204.382846,-64.384699,0.009423407,2.47E-20,106.118735,-2.78E-16,*,5.952,6.05E+09
J1338-6204,308.372,0.305,204.53853,-62.07186,1.239000579,1.38E-14,0.807102125,-8.98E-15,*,12.363,1.42E+06
J1339-4712,311.424,14.869,204.985786,-47.201533,0.137054658,5.30E-19,7.296359096,-2.82E-17,*,1.212,4.10E+09
J1339-6618,307.786,-3.889,204.9858,-66.30217,0.558179222,3.50E-16,1.791539278,-1.12E-15,*,7.327,2.53E+07
J1340-6456,308.047,-2.557,205.0013,-64.94525,0.378622066,5.05E-15,2.641156153,-3.52E-14,*,1.402,1.19E+06
J1341-6023,309.035,1.889,205.28071,-60.39297,0.627285366,1.95E-14,1.594170778,-4.95E-14,*,7.278,5.11E+05
