Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J1923+1706,51.707,0.965,290.78271,17.10261,0.547209202,4.30E-17,1.827454649,-1.44E-16,*,3.975,2.02E+08
J1923+2022g,54.676,2.338,290.98,20.37,0.03799,*,26.322717,*,*,4.626,*
J1923+2515,58.946,4.749,290.8437176,25.26127254,0.003788156,9.56E-21,263.9807142,-6.66E-16,*,1.201,6.28E+09
J1923+4243,74.715,12.643,290.8135,42.72185,0.595192859,2.53E-15,1.680127686,-7.15E-15,*,4.684,3.72E+06
J1924+1343g,48.86,-0.891,291.08,13.72,0.00572,*,174.825175,*,*,3.045,*
J1924+1509g,50.149,-0.262,291.14,15.15,0.23995,*,4.167535,*,*,6.358,*
J1924+1510g,50.103,-0.141,291.01,15.17,0.49863,*,2.005495,*,*,3.469,*
J1924+1628,51.337,0.331,291.18371,16.47714,0.375082251,3.21E-16,2.666081899,-2.28E-15,*,10.47,1.85E+07
J1924+1631,51.405,0.318,291.22867,16.53022,2.935186459,3.64E-13,0.340693858,-4.23E-14,*,10.183,1.28E+05
J1924+1639,51.422,0.562,291.012965,16.661321,0.158042918,2.56E-15,6.327395204,-1.03E-13,*,5.059,9.77E+05
J1924+1713,51.975,0.726,291.13549,17.22583,0.758433236,1.13E-16,1.318507618,-1.96E-16,*,10.902,1.06E+08
J1924+1917,53.782,1.725,291.10921,19.29011,1.277941625,1.99E-16,0.782508356,-1.22E-16,*,8.594,1.02E+08
J1924+1923g,53.853,1.791,291.08,19.38,0.68924,*,1.450873,*,*,9.824,*
J1924+1932g,54.039,1.761,291.2,19.53,0.38886,*,2.57162,*,*,6.612,*
J1924+2027g,54.819,2.246,291.14,20.45,0.00195,*,512.820513,*,*,5.294,*
J1924+2037g,54.966,2.325,291.14,20.62,0.6848,*,1.46028,*,*,2.935,*
J1924+2040,55.022,2.328,291.17,20.668,0.237790138,2.09E-15,4.20538887,-3.70E-14,*,5.951,1.80E+06
J1925+1532g,50.536,-0.173,291.25,15.53,1.6551,*,0.604193,*,*,4.202,*
J1925-16,22.13,-14.537,291.28,-16.02,3.8858,*,0.257347,*,*,7.935,*
J1925+1629g,51.392,0.243,291.29,16.48,0.00411,*,243.309002,*,*,5.118,*
J1925+1636g,51.567,0.164,291.45,16.6,0.04971,*,20.116677,*,*,1.536,*
J1925+1720,52.179,0.59,291.362629,17.34092,0.075658988,1.05E-14,13.21720024,-1.83E-12,*,5.048,1.15E+05
J1925+19,53.697,1.412,291.36,19.07,1.916353,*,0.5218245,*,*,8.329,*
J1926+0431,40.98,-5.674,291.601967,4.52543,1.074080076,2.46E-15,0.93102928,-2.13E-15,0.00E+00,4.995,6.91E+06
J1926-0652,30.751,-10.936,291.65434,-6.87853,1.608816303,3.91E-16,0.621575004,-1.51E-16,*,5.286,6.51E+07
J1926+0737,43.739,-4.256,291.64058,7.61867,0.318062051,3.75E-16,3.144040595,-3.71E-15,*,8.722,1.34E+07
J1926-1314,24.922,-13.763,291.724312,-13.2344,4.8642838,3.64E-14,0.20558011,-1.54E-15,*,1.531,2.11E+06
J1926+1434,49.923,-1.039,291.73844,14.58204,1.324921971,2.19E-16,0.754761429,-1.25E-16,5.00E-28,5.649,9.56E+07
J1926+1452g,50.169,-0.896,291.73,14.87,0.30451,*,3.283964,*,*,6.481,*
J1926+1614,51.367,-0.226,291.709175,16.23855,0.308305907,3.35E-17,3.243531754,-3.53E-16,*,1.262,1.46E+08
J1926+1631g,51.562,-0.002,291.6,16.52,0.67839,*,1.474078,*,*,4.822,*
J1926+1648,51.859,0.063,291.688845,16.809106,0.579822815,1.80E-14,1.724664801,-5.35E-14,4.10E-26,6,5.11E+05
J1926+1857g,53.768,1.034,291.75,18.95,0.27873,*,3.587701,*,*,9.569,*
J1926+1928,54.158,1.407,291.59508,19.4699,1.346012185,1.43E-15,0.742935325,-7.89E-16,*,10.569,1.49E+07
J1926+2016,54.851,1.802,291.575267,20.266981,0.299071778,3.50E-15,3.343678918,-3.91E-14,*,5.948,1.35E+06
J1927+0911,45.224,-3.705,291.85678,9.18492,0.290305256,6.35E-17,3.444649997,-7.54E-16,*,10.939,7.24E+07
J1927+1430g,49.933,-1.23,291.92,14.5,0.20288,*,4.929022,*,*,5.626,*
J1927+1852,53.718,0.956,291.79343,18.86903,0.482766274,1.16E-16,2.071395734,-4.98E-16,*,5.443,6.59E+07
J1927+1856,53.811,0.941,291.85404,18.94356,0.298313497,2.24E-15,3.352178192,-2.52E-14,*,3.1,2.11E+06
J1927+2234,56.983,2.73,291.78367,22.58258,1.431066414,7.71E-16,0.698779588,-3.77E-16,*,7.222,2.94E+07
J1928-0108,36.133,-8.726,292.07887,-1.14881,2.365714025,2.80E-15,0.422705361,-5.00E-16,*,9.696,1.34E+07
J1928+1245,48.534,-2.29,292.18914,12.7648261,0.003021606,1.68E-20,330.9497945,-1.84E-15,*,6.079,2.85E+09
J1928+1443,50.178,-1.22,292.0283,14.7198,1.010738953,2.10E-16,0.989375146,-2.06E-16,*,3.079,7.63E+07
J1928+15,50.64,-1.03,292.08,15.22,0.403,*,2.48139,*,*,5.746,*
J1928+1725,52.641,-0.087,292.21667,17.42472,0.28983833,*,3.4501993,*,*,3.725,*
J1928+1746,52.931,0.114,292.177304,17.774894,0.068730406,1.32E-14,14.54960127,-2.79E-12,*,4.337,8.26E+04
